metric,Bias (RMSD of all gridpoints),Bias (RMSD of all gridpoints),Mean change (Future - Reference),Mean change (Future - Reference)
variable,Temperature (K),Precipitation (kg/m2/s),Temperature (K),Precipitation (kg/m2/s)
dataset,,,,
CMIP5_ACCESS1-0_r1i1p1,3.19E+00,1.96E-05,2.36E+00,8.00E-09
CMIP5_ACCESS1-3_r1i1p1,3.11E+00,1.93E-05,2.24E+00,6.27E-07
CMIP5_BNU-ESM_r1i1p1,4.08E+00,1.87E-05,2.44E+00,2.96E-08
CMIP5_CCSM4_r1i1p1,3.12E+00,1.69E-05,1.95E+00,-1.92E-07
CMIP5_CCSM4_r2i1p1,3.23E+00,1.73E-05,1.65E+00,6.00E-08
CMIP5_CCSM4_r3i1p1,3.07E+00,1.71E-05,1.64E+00,-4.01E-08
CMIP5_CCSM4_r4i1p1,3.07E+00,1.71E-05,1.75E+00,-2.17E-07
CMIP5_CCSM4_r5i1p1,3.02E+00,1.70E-05,1.81E+00,4.64E-09
CMIP5_CCSM4_r6i1p1,3.06E+00,1.71E-05,1.72E+00,-3.31E-08
CMIP5_CESM1-BGC_r1i1p1,3.08E+00,1.69E-05,1.76E+00,1.99E-07
CMIP5_CESM1-CAM5_r1i1p1,3.04E+00,1.70E-05,2.55E+00,9.20E-07
CMIP5_CESM1-CAM5_r2i1p1,2.95E+00,1.73E-05,2.14E+00,5.70E-07
CMIP5_CESM1-CAM5_r3i1p1,2.87E+00,1.74E-05,2.29E+00,9.60E-07
CMIP5_CESM1-WACCM_r2i1p1,3.91E+00,1.70E-05,2.04E+00,-1.21E-07
CMIP5_CESM1-WACCM_r3i1p1,3.73E+00,1.67E-05,1.91E+00,-5.04E-08
CMIP5_CESM1-WACCM_r4i1p1,3.79E+00,1.69E-05,1.87E+00,-1.45E-08
CMIP5_CMCC-CESM_r1i1p1,5.66E+00,1.76E-05,2.73E+00,1.39E-06
CMIP5_CMCC-CMS_r1i1p1,4.37E+00,1.76E-05,2.53E+00,3.20E-07
CMIP5_CMCC-CM_r1i1p1,5.48E+00,1.78E-05,2.70E+00,6.43E-07
CMIP5_CNRM-CM5_r10i1p1,3.38E+00,1.76E-05,1.55E+00,4.30E-07
CMIP5_CNRM-CM5_r1i1p1,3.46E+00,1.75E-05,1.84E+00,7.39E-07
CMIP5_CNRM-CM5_r2i1p1,3.35E+00,1.75E-05,1.77E+00,7.60E-07
CMIP5_CNRM-CM5_r4i1p1,3.45E+00,1.75E-05,1.78E+00,6.67E-07
CMIP5_CNRM-CM5_r6i1p1,3.41E+00,1.75E-05,1.98E+00,7.19E-07
CMIP5_CSIRO-Mk3-6-0_r10i1p1,6.16E+00,1.77E-05,2.42E+00,-1.45E-07
CMIP5_CSIRO-Mk3-6-0_r1i1p1,5.96E+00,1.80E-05,1.84E+00,-2.70E-07
CMIP5_CSIRO-Mk3-6-0_r2i1p1,5.88E+00,1.81E-05,2.03E+00,5.43E-09
CMIP5_CSIRO-Mk3-6-0_r3i1p1,5.75E+00,1.80E-05,2.03E+00,-1.97E-07
CMIP5_CSIRO-Mk3-6-0_r4i1p1,6.47E+00,1.82E-05,2.27E+00,-3.53E-08
CMIP5_CSIRO-Mk3-6-0_r5i1p1,6.48E+00,1.79E-05,2.34E+00,3.63E-07
CMIP5_CSIRO-Mk3-6-0_r6i1p1,6.20E+00,1.80E-05,1.96E+00,6.24E-09
CMIP5_CSIRO-Mk3-6-0_r7i1p1,6.15E+00,1.79E-05,1.66E+00,-3.25E-07
CMIP5_CSIRO-Mk3-6-0_r8i1p1,5.85E+00,1.79E-05,1.46E+00,-2.81E-07
CMIP5_CSIRO-Mk3-6-0_r9i1p1,5.85E+00,1.80E-05,1.93E+00,-2.99E-07
CMIP5_CanESM2_r1i1p1,3.40E+00,1.72E-05,2.33E+00,6.85E-07
CMIP5_CanESM2_r2i1p1,3.34E+00,1.70E-05,2.79E+00,9.58E-07
CMIP5_CanESM2_r3i1p1,3.46E+00,1.74E-05,2.43E+00,1.15E-06
CMIP5_CanESM2_r4i1p1,3.43E+00,1.73E-05,2.61E+00,9.15E-07
CMIP5_CanESM2_r5i1p1,3.50E+00,1.73E-05,2.80E+00,8.57E-07
CMIP5_EC-EARTH_r1i1p1,2.92E+00,1.68E-05,1.52E+00,1.93E-07
CMIP5_EC-EARTH_r2i1p1,2.98E+00,1.66E-05,2.06E+00,2.03E-07
CMIP5_EC-EARTH_r6i1p1,2.81E+00,1.67E-05,1.53E+00,4.18E-07
CMIP5_EC-EARTH_r9i1p1,2.88E+00,1.68E-05,1.69E+00,3.75E-07
CMIP5_FGOALS-g2_r1i1p1,7.03E+00,1.76E-05,2.05E+00,7.06E-07
CMIP5_FGOALS-s2_r1i1p1,5.25E+00,1.93E-05,2.28E+00,8.96E-07
CMIP5_FGOALS-s2_r2i1p1,5.26E+00,1.92E-05,2.38E+00,8.51E-07
CMIP5_FGOALS-s2_r3i1p1,5.17E+00,1.92E-05,2.42E+00,7.17E-07
CMIP5_FIO-ESM_r1i1p1,3.55E+00,1.75E-05,5.42E-01,-9.29E-07
CMIP5_FIO-ESM_r2i1p1,3.53E+00,1.73E-05,4.11E-01,-8.96E-07
CMIP5_FIO-ESM_r3i1p1,3.62E+00,1.77E-05,5.94E-01,-1.06E-06
CMIP5_GFDL-CM3_r1i1p1,3.15E+00,1.70E-05,3.33E+00,1.28E-07
CMIP5_GFDL-ESM2G_r1i1p1,4.11E+00,1.68E-05,1.35E+00,1.23E-07
CMIP5_GFDL-ESM2M_r1i1p1,3.74E+00,1.71E-05,1.64E+00,2.47E-07
CMIP5_GISS-E2-H-CC_r1i1p1,3.86E+00,1.89E-05,2.05E+00,4.06E-07
CMIP5_GISS-E2-H_r1i1p1,3.82E+00,1.95E-05,2.22E+00,4.90E-07
CMIP5_GISS-E2-H_r1i1p2,3.88E+00,1.98E-05,2.18E+00,4.87E-07
CMIP5_GISS-E2-H_r1i1p3,3.62E+00,1.98E-05,2.62E+00,1.05E-06
CMIP5_GISS-E2-H_r2i1p1,3.70E+00,1.96E-05,2.51E+00,1.26E-06
CMIP5_GISS-E2-H_r2i1p3,3.77E+00,1.96E-05,2.90E+00,1.31E-06
CMIP5_GISS-E2-R-CC_r1i1p1,4.33E+00,1.83E-05,1.81E+00,5.09E-07
CMIP5_GISS-E2-R_r1i1p1,4.09E+00,1.84E-05,1.85E+00,2.23E-07
CMIP5_GISS-E2-R_r1i1p2,4.49E+00,1.84E-05,2.16E+00,6.89E-07
CMIP5_GISS-E2-R_r1i1p3,4.32E+00,1.82E-05,2.37E+00,8.84E-07
CMIP5_GISS-E2-R_r2i1p1,4.17E+00,1.85E-05,1.75E+00,-1.12E-07
CMIP5_GISS-E2-R_r2i1p3,4.24E+00,1.82E-05,2.26E+00,4.32E-07
CMIP5_HadGEM2-AO_r1i1p1,3.18E+00,1.93E-05,2.20E+00,-3.52E-07
CMIP5_HadGEM2-CC_r1i1p1,3.79E+00,1.88E-05,3.20E+00,2.23E-07
CMIP5_HadGEM2-CC_r2i1p1,3.94E+00,1.92E-05,3.01E+00,5.25E-07
CMIP5_HadGEM2-CC_r3i1p1,3.49E+00,1.93E-05,2.39E+00,-3.15E-07
CMIP5_HadGEM2-ES_r1i1p1,3.15E+00,1.86E-05,2.67E+00,3.88E-08
CMIP5_HadGEM2-ES_r2i1p1,3.16E+00,1.90E-05,2.96E+00,1.01E-07
